id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1582643632191852544,1582643632191852544,1666166620000.0,2022-10-19 09:03:40,+0100,,"1.60 magnitude earthquake occurred at Matanuska-Susitna, AK, United States on 2022-10-19 07:50:18 UTC Map:  https://t.co/5MhESmzg5i #earthb0t #earthquake  #MatanuskaSusitna #AK #UnitedStates #noaa #greatshakeout #LetsBeSafe #OpenData #data  https://t.co/oLzWPfqSTD",en,"['earthb0t', 'earthquake', 'matanuskasusitna', 'ak', 'unitedstates', 'noaa', 'greatshakeout', 'letsbesafe', 'opendata', 'data']",[],1112896007774371840,1112896007774371840,earthb0t,earthb0t,3,09,https://twitter.com/earthb0t/status/1582643632191852544,['https://earthquake.usgs.gov/earthquakes/eventpage/ak022df1e4n3/map'],['https://pbs.twimg.com/media/Ffat_0AWQAEsxw3.jpg'],1,https://pbs.twimg.com/media/Ffat_0AWQAEsxw3.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643568086171648,1582643568086171648,1666166605000.0,2022-10-19 09:03:25,+0100,,Noch mehr Blut? Bitcoin Charts ähnliches Absturzmuster wie im Bärenmarkt 2018 #Absturzmuster #ähnliches #Bärenmarkt #Bitcoin #Bitcoin_BTC_Preis #Blut #Charts #Bitcoin #Data #Fear #Krypto_News #Link  https://t.co/e9G0RioWmv,de,"['absturzmuster', 'ähnliches', 'bärenmarkt', 'bitcoin', 'bitcoin_btc_preis', 'blut', 'charts', 'bitcoin', 'data', 'fear', 'krypto_news', 'link']",[],1411690886472163328,1411690886472163328,Krypto_Deutsch,Krypto News Deutschland,3,09,https://twitter.com/Krypto_Deutsch/status/1582643568086171648,['https://news-krypto.de/krypto-news/noch-mehr-blut-bitcoin-charts-aehnliches-absturzmuster-wie-im-baerenmarkt-2018/?feed_id=199419&utm_source=Twitter&utm_medium=wom87&utm_campaign=FS%20Poster'],[],0,,False,0,0,0,,#data,,,,,,,[],,,,
1582643565574119424,1582643565574119424,1666166604000.0,2022-10-19 09:03:24,+0100,,"1.70 magnitude earthquake occurred at W Kenny Blvd, Willow, AK 99688, United States on 2022-10-19 07:55:53 UTC Map:  https://t.co/hpdPRcALMS #earthb0t #earthquake  #WKennyBlvd #Willow #AK99688 #UnitedStates #noaa #greatshakeout #LetsBeSafe #OpenData #data  https://t.co/vNi2MhHOnw",en,"['earthb0t', 'earthquake', 'wkennyblvd', 'willow', 'ak99688', 'unitedstates', 'noaa', 'greatshakeout', 'letsbesafe', 'opendata', 'data']",[],1112896007774371840,1112896007774371840,earthb0t,earthb0t,3,09,https://twitter.com/earthb0t/status/1582643565574119424,['https://earthquake.usgs.gov/earthquakes/eventpage/ak022df1f89v/map'],['https://pbs.twimg.com/media/Ffat77PX0AER5Fd.jpg'],1,https://pbs.twimg.com/media/Ffat77PX0AER5Fd.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643468362743809,1582643468362743809,1666166581000.0,2022-10-19 09:03:01,+0100,,"75% of organizations already run more than half of their enterprise IT as-a-service. For any XaaS business model, you need to have full control of the data that tells you how customers are using your services.    https://t.co/5bYj8XwOyC  #usage, #subscription, #data, #xaas, #innov  https://t.co/al9yo9Kp1V",en,"['usage', 'subscription', 'data', 'xaas', 'innov']",[],742424016,742424016,Digital_Route,DigitalRoute,3,09,https://twitter.com/Digital_Route/status/1582643468362743809,['https://hubs.ly/Q01pVHk-0'],['https://pbs.twimg.com/media/Ffat2GgWIAAsMHx.jpg'],1,https://pbs.twimg.com/media/Ffat2GgWIAAsMHx.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643463086129153,1582643463086129153,1666166580000.0,2022-10-19 09:03:00,+0100,,"Join me for my online #training - 'Data analytics for managers' course with the @RoyalStatSoc that starts on Nov 14th. It's a great way to learn about how to review, interpret and support the work of your #datascience teams.  https://t.co/F2glewufsB #dataanalytics #learning #data  https://t.co/0qiZ9SzjcS",en,"['training', 'datascience', 'dataanalytics', 'learning', 'data']",[],3020474655,3020474655,SophieBays,Dr Sophie Carr,3,09,https://twitter.com/SophieBays/status/1582643463086129153,['https://bit.ly/rsstraining1122'],['https://pbs.twimg.com/media/FfRsTZtXkAIlPeq.jpg'],1,https://pbs.twimg.com/media/FfRsTZtXkAIlPeq.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643412955602950,1582423953456652289,1666166568000.0,2022-10-19 09:02:48,+0100,,@python_spaces #thread @SaveToNotion #data,qme,"['thread', 'data']",[],996798487,996798487,_ategeka,dread dreaded dreading,3,09,https://twitter.com/_ategeka/status/1582643412955602950,[],[],0,,False,0,0,0,,#data,,,,,,,"[{'screen_name': 'python_spaces', 'name': 'Python Space', 'id': '1545688064957509632'}]",,,,
1582643350921805826,1582643350921805826,1666166553000.0,2022-10-19 09:02:33,+0100,,Happy IoT &amp; Overalls  Welcome to #IoT Coffee Talk #65 where we chat about #Digital #IIoT #Automation #DigitalTwins #Edge #IoTPL #IoTCL #Cloud #DigitalTransformation #5G #AI #Data #Industry40 &amp; #Sustainability over a cup of coffee.  Grab a cup and  https://t.co/iqBNBV8QPY,en,"['iot', 'digital', 'iiot', 'automation', 'digitaltwins', 'edge', 'iotpl', 'iotcl', 'cloud', 'digitaltransformation', '5g', 'ai', 'data', 'industry40', 'sustainability']",[],9767702,9767702,RobTiffany,Rob Tiffany #IoT #DigitalTwins,3,09,https://twitter.com/RobTiffany/status/1582643350921805826,['https://robtiffanydigital.com/iot-coffee-talk-65-happy-iot-overalls/?utm_source=twitter&utm_medium=social&utm_campaign=ReviveOldPost'],[],0,,False,0,0,0,,#data,,,,,,,[],,,,
1582643349487374336,1582643349487374336,1666166553000.0,2022-10-19 09:02:33,+0100,,Ubiquitous IoT Connectivity (sponsored by Eseye)  Welcome to #IoT Coffee Talk #66 where we chat about #Digital #IIoT #Automation #DigitalTwins #Edge #IoTPL #IoTCL #Cloud #DigitalTransformation #5G #AI #Data #Industry40 &amp; #Sustainability over a cup of  https://t.co/4v2GVvPo5Z,en,"['iot', 'digital', 'iiot', 'automation', 'digitaltwins', 'edge', 'iotpl', 'iotcl', 'cloud', 'digitaltransformation', '5g', 'ai', 'data', 'industry40', 'sustainability']",[],9767702,9767702,RobTiffany,Rob Tiffany #IoT #DigitalTwins,3,09,https://twitter.com/RobTiffany/status/1582643349487374336,['https://robtiffanydigital.com/iot-coffee-talk-66-ubiquitous-iot-connectivity-sponsored-by-eseye/?utm_source=twitter&utm_medium=social&utm_campaign=ReviveOldPost'],[],0,,False,1,0,0,,#data,,,,,,,[],,,,
1582643343368261632,1582643343368261632,1666166551000.0,2022-10-19 09:02:31,+0100,,It's nearly impossible to make real-time decisions without up-to-date data. Pitney Bowes was able to reduce batch loads from 31 hours to under 2 hours with Fivetran's log-based change #data capture from #SAP and #Oracle . Learn how:  https://t.co/NzQ5AZY9Bg,en,"['data', 'sap', 'oracle']",[],1101995604,1101995604,BoboBayern,Tobi Knieper,3,09,https://twitter.com/BoboBayern/status/1582643343368261632,['http://share.fivetran-social.com/ge6b2'],[],0,,False,0,0,0,,#data,,,,,,,[],,,,
1582643233883971584,1582643233883971584,1666166525000.0,2022-10-19 09:02:05,+0100,," https://t.co/VZmaabqIoz USB C Hub, CableCreation 5-in-1 USB C Ethernet Hub, USB-C Hub Multiport Adapter with RJ45 LAN 1Gbps,HDMI 4K 60Hz,3 USB 3.0 data ports, for MacBook Pro/Air, iPad Pro/Air/Mini 6,surface Pro and More  #USB #data #multiple #iPadPro  #ipadair #ipad #MacBookAir",en,"['usb', 'data', 'multiple', 'ipadpro', 'ipadair', 'ipad', 'macbookair']",[],1319394717281517568,1319394717281517568,Starblu67724132,Starblue,3,09,https://twitter.com/Starblu67724132/status/1582643233883971584,['https://amzn.to/3EPmEpW'],[],0,,False,0,0,0,,#data,,,,,,,[],,,,
1582643136735551488,1582643136735551488,1666166502000.0,2022-10-19 09:01:42,+0100,,"Need a midweek breakdown on all the latest developments? 🔍  For the latest news, insight and analysis on #data #tech and #innovation in #health, #MentalHealth and #SocialCare - check out our website and sign up for our free weekly newsletter.   https://t.co/1NODJtikXM  https://t.co/5JDuNgWqCB",en,"['data', 'tech', 'innovation', 'health', 'mentalhealth', 'socialcare']",[],804312326077878273,804312326077878273,FCC_UK,Future Care Capital,3,09,https://twitter.com/FCC_UK/status/1582643136735551488,['https://futurecarecapital.org.uk/newsletter/'],['https://pbs.twimg.com/media/Ffati9DXgAAfmN6.jpg'],1,https://pbs.twimg.com/media/Ffati9DXgAAfmN6.jpg,False,1,0,0,,#data,,,,,,,[],,,,
1582643065852133377,1582643065852133377,1666166485000.0,2022-10-19 09:01:25,+0100,,Let us know which skills you are interested in learning below.   #learning #digitalskills #data #ArtificialIntelligence #uktechstartup  https://t.co/1ebE2x1ijo,en,"['learning', 'digitalskills', 'data', 'artificialintelligence', 'uktechstartup']",[],1538259518181842944,1538259518181842944,oldfleets,Oldfleets Consulting Limited,3,09,https://twitter.com/oldfleets/status/1582643065852133377,[],['https://pbs.twimg.com/media/FfatedXX0AARohH.jpg'],1,https://pbs.twimg.com/media/FfatedXX0AARohH.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643060390756353,1582643060390756353,1666166484000.0,2022-10-19 09:01:24,+0100,,Effectively managing your data migration is the key to success of it. Find out the key steps you need to have in your data migration plan:  https://t.co/awBbwCUOEg  #DataMigration #MigratingData #MovingData #Data #DataMigrationPlan #DataEngineering #DataServices #DataSolutions  https://t.co/TNgKwVWdfD,en,"['datamigration', 'migratingdata', 'movingdata', 'data', 'datamigrationplan', 'dataengineering', 'dataservices', 'datasolutions']",[],88905418,88905418,ardentisys,Ardent,3,09,https://twitter.com/ardentisys/status/1582643060390756353,['https://bit.ly/3Mo2JjO'],['https://pbs.twimg.com/media/FfateVyXgAAHc6d.jpg'],1,https://pbs.twimg.com/media/FfateVyXgAAHc6d.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643050701914112,1582643050701914112,1666166482000.0,2022-10-19 09:01:22,+0100,,"A team of researchers in Japan has developed a snake-shaped robot that can climb up high steps, navigate through narrow spaces and even give you a leg massage.  Video Source: REUTERS  #DeepLearning #Algorithm #data #ai #ml #machinelearning #startups #scaleups #technology  https://t.co/VSkiwonBqL",en,"['deeplearning', 'algorithm', 'data', 'ai', 'ml', 'machinelearning', 'startups', 'scaleups', 'technology']",[],1436303994092195844,1436303994092195844,aidotnl,Ai.nl,3,09,https://twitter.com/aidotnl/status/1582643050701914112,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1582642825975439361/pu/img/F_i2BamyELdskneH.jpg,False,0,0,0,,#data,,,,,,,[],,,,
1582643040056926208,1582643040056926208,1666166479000.0,2022-10-19 09:01:19,+0100,,"Mit #Data Spitzenleistungen erreichen?🔢 Petra Wotring, Digital-Marketing-Spezialistin bei Key-Work, weiß, wie der Hase läuft, denn in ihrem Daily Doing unterstützt sie Unternehmern bei der Umsetzung datengetriebener Modelle. Schau dir Petras Session an ➡️  https://t.co/GTsX0fAAJu  https://t.co/OkbzmTAScl",de,['data'],[],1401828505609027590,1401828505609027590,OMKB_de,OMKB,3,09,https://twitter.com/OMKB_de/status/1582643040056926208,['https://omkb.de/konferenz/'],['https://pbs.twimg.com/media/FfatdVFXEAEtNUZ.jpg'],1,https://pbs.twimg.com/media/FfatdVFXEAEtNUZ.jpg,False,0,0,0,,#data,,,,,,,[],,,,
